IP,Date,Time,Accepted cookies,Device type,Browser language,Browser name,OS Name,Country,Region,RegionName,City,Zipcode,Lat,Lon
49.36.83.154,2023-04-28,05:33:48 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-04-28,06:58:19 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-05-13,05:23:46 UTC,["necessary"],desktop,en,,,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-01,06:03:24 UTC,["necessary"],desktop,en,,,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-01,06:09:14 UTC,["necessary"],desktop,en,,,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-10,06:25:43 UTC,["necessary"],desktop,en,,,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-12,03:26:43 UTC,["necessary"],desktop,en,,,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-12,11:24:15 UTC,["necessary"],desktop,en,,,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-15,04:07:13 UTC,["necessary"],desktop,en,,,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-19,05:34:05 UTC,["necessary"],desktop,en,,,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-19,06:35:11 UTC,["necessary"],desktop,en,,,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-19,12:31:36 UTC,["necessary"],desktop,en,,,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-20,06:38:56 UTC,["necessary"],desktop,en,,,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-20,08:37:54 UTC,["necessary"],desktop,en,,,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-07-04,06:55:12 UTC,["necessary"],desktop,en,,,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
